slug,title,asset_id,asset_type,themes,spatial_scope,temporal_type,has_official_example_code,has_official_recipe,has_band_metadata,band_count,recipe_band_count,official_url
NOAA_CFSR,CFSR: Climate Forecast System Reanalysis | Earth Engine Data Catalog | Google for Developers,NOAA/CFSR,ImageCollection,"surface_water,ocean,soil_water",global,time_series,True,True,True,94,0,https://developers.google.com/earth-engine/datasets/catalog/NOAA_CFSR?hl=zh-cn
NASA_ORNL_DAYMET_V4,Daymet V4: Daily Surface Weather and Climatological Summaries | Earth Engine Data Catalog | Google for Developers,NASA/ORNL/DAYMET_V4,ImageCollection,surface_water,global,daily,True,False,True,7,0,https://developers.google.com/earth-engine/datasets/catalog/NASA_ORNL_DAYMET_V4?hl=zh-cn
OPERA_DSWX_L3_V1_HLS,Dynamic Surface Water Extent from Harmonized Landsat Sentinel-2 (DSWx-HLS) V1 | Earth Engine Data Catalog | Google for Developers,OPERA/DSWX/L3_V1/HLS,ImageCollection,surface_water,global,time_series,True,True,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/OPERA_DSWX_L3_V1_HLS?hl=zh-cn
OPERA_DSWX_L3_V1_S1,Dynamic Surface Water Extent from Sentinel-1 (DSWx-S1) V1 | Earth Engine Data Catalog | Google for Developers,OPERA/DSWX/L3_V1/S1,ImageCollection,surface_water,global,time_series,True,True,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/OPERA_DSWX_L3_V1_S1?hl=zh-cn
GLCF_GLS_WATER,GLCF: Landsat Global Inland Water | Earth Engine Data Catalog | Google for Developers,GLCF/GLS_WATER,ImageCollection,surface_water,global,time_series,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/GLCF_GLS_WATER?hl=zh-cn
GLOBAL_FLOOD_DB_MODIS_EVENTS_V1,Global Flood Database v1 (2000-2018) | Earth Engine Data Catalog | Google for Developers,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,ImageCollection,"flood,surface_water",global,time_series,True,True,True,5,0,https://developers.google.com/earth-engine/datasets/catalog/GLOBAL_FLOOD_DB_MODIS_EVENTS_V1?hl=zh-cn
USGS_WBD_2017_HUC02,HUC02: USGS Watershed Boundary Dataset of Regions | Earth Engine Data Catalog | Google for Developers,USGS/WBD/2017/HUC02,FeatureCollection,"surface_water,watershed",regional,static,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/USGS_WBD_2017_HUC02?hl=zh-cn
USGS_WBD_2017_HUC04,HUC04: USGS Watershed Boundary Dataset of Subregions | Earth Engine Data Catalog | Google for Developers,USGS/WBD/2017/HUC04,FeatureCollection,"surface_water,watershed",regional,static,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/USGS_WBD_2017_HUC04?hl=zh-cn
USGS_WBD_2017_HUC06,HUC06: USGS Watershed Boundary Dataset of Basins | Earth Engine Data Catalog | Google for Developers,USGS/WBD/2017/HUC06,FeatureCollection,"surface_water,watershed",regional,static,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/USGS_WBD_2017_HUC06?hl=zh-cn
USGS_WBD_2017_HUC08,HUC08: USGS Watershed Boundary Dataset of Subbasins | Earth Engine Data Catalog | Google for Developers,USGS/WBD/2017/HUC08,FeatureCollection,"surface_water,watershed",regional,static,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/USGS_WBD_2017_HUC08?hl=zh-cn
USGS_WBD_2017_HUC10,HUC10: USGS Watershed Boundary Dataset of Watersheds | Earth Engine Data Catalog | Google for Developers,USGS/WBD/2017/HUC10,FeatureCollection,"surface_water,watershed",regional,static,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/USGS_WBD_2017_HUC10?hl=zh-cn
USGS_WBD_2017_HUC12,HUC12: USGS Watershed Boundary Dataset of Subwatersheds | Earth Engine Data Catalog | Google for Developers,USGS/WBD/2017/HUC12,FeatureCollection,"surface_water,watershed",regional,static,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/USGS_WBD_2017_HUC12?hl=zh-cn
HYCOM_sea_temp_salinity,"HYCOM: Hybrid Coordinate Ocean Model, Water Temperature and Salinity | Earth Engine Data Catalog | Google for Developers",HYCOM/sea_temp_salinity,ImageCollection,"surface_water,ocean",global,time_series,True,True,True,80,0,https://developers.google.com/earth-engine/datasets/catalog/HYCOM_sea_temp_salinity?hl=zh-cn
HYCOM_sea_water_velocity,"HYCOM: Hybrid Coordinate Ocean Model, Water Velocity | Earth Engine Data Catalog | Google for Developers",HYCOM/sea_water_velocity,ImageCollection,"surface_water,ocean",global,time_series,True,False,True,80,0,https://developers.google.com/earth-engine/datasets/catalog/HYCOM_sea_water_velocity?hl=zh-cn
JRC_GSW1_2_GlobalSurfaceWater,"JRC Global Surface Water Mapping Layers, v1.2 [deprecated] | Earth Engine Data Catalog | Google for Developers",JRC/GSW1_2/GlobalSurfaceWater,Image,"surface_water,ocean",global,static,True,True,True,7,1,https://developers.google.com/earth-engine/datasets/catalog/JRC_GSW1_2_GlobalSurfaceWater?hl=zh-cn
JRC_GSW1_4_GlobalSurfaceWater,"JRC Global Surface Water Mapping Layers, v1.4 | Earth Engine Data Catalog | Google for Developers",JRC/GSW1_4/GlobalSurfaceWater,Image,"surface_water,ocean",global,static,True,True,True,7,1,https://developers.google.com/earth-engine/datasets/catalog/JRC_GSW1_4_GlobalSurfaceWater?hl=zh-cn
JRC_GSW1_4_Metadata,"JRC Global Surface Water Metadata, v1.4 | Earth Engine Data Catalog | Google for Developers",JRC/GSW1_4/Metadata,Image,surface_water,global,static,True,True,False,0,3,https://developers.google.com/earth-engine/datasets/catalog/JRC_GSW1_4_Metadata?hl=zh-cn
JRC_GSW1_4_MonthlyHistory,"JRC Monthly Water History, v1.4 | Earth Engine Data Catalog | Google for Developers",JRC/GSW1_4/MonthlyHistory,ImageCollection,surface_water,global,monthly,True,True,False,0,1,https://developers.google.com/earth-engine/datasets/catalog/JRC_GSW1_4_MonthlyHistory?hl=zh-cn
JRC_GSW1_4_MonthlyRecurrence,"JRC Monthly Water Recurrence, v1.4 | Earth Engine Data Catalog | Google for Developers",JRC/GSW1_4/MonthlyRecurrence,ImageCollection,surface_water,global,monthly,True,True,True,2,1,https://developers.google.com/earth-engine/datasets/catalog/JRC_GSW1_4_MonthlyRecurrence?hl=zh-cn
JRC_GSW1_4_YearlyHistory,"JRC Yearly Water Classification History, v1.4 | Earth Engine Data Catalog | Google for Developers",JRC/GSW1_4/YearlyHistory,ImageCollection,surface_water,global,yearly,True,True,False,0,1,https://developers.google.com/earth-engine/datasets/catalog/JRC_GSW1_4_YearlyHistory?hl=zh-cn
NASA_GSFC_MERRA_slv_2,MERRA-2 M2T1NXSLV: Single-Level Diagnostics V5.12.4 | Earth Engine Data Catalog | Google for Developers,NASA/GSFC/MERRA/slv/2,ImageCollection,surface_water,global,time_series,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/NASA_GSFC_MERRA_slv_2?hl=zh-cn
ISRIC_SoilGrids250m_v2_0,SoilGrids250m 2.0 - Volumetric Water Content | Earth Engine Data Catalog | Google for Developers,ISRIC/SoilGrids250m/v2_0,ImageCollection,"surface_water,soil_water",global,time_series,True,True,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/ISRIC_SoilGrids250m_v2_0?hl=zh-cn
NOAA_CFSV2_FOR6H_HARMONIZED,"CFSV2: NCEP Climate Forecast System Version 2, 6-Hourly Products Harmonized | Earth Engine Data Catalog | Google for Developers",NOAA/CFSV2/FOR6H_HARMONIZED,ImageCollection,"ocean,soil_water",global,time_series,True,True,True,22,0,https://developers.google.com/earth-engine/datasets/catalog/NOAA_CFSV2_FOR6H_HARMONIZED?hl=zh-cn
NASA_GRACE_MASS_GRIDS_OCEAN_EOFR,GRACE Monthly Mass Grids - Ocean EOFR | Earth Engine Data Catalog | Google for Developers,NASA/GRACE/MASS_GRIDS/OCEAN_EOFR,ImageCollection,"ocean,groundwater",global,monthly,True,False,True,3,0,https://developers.google.com/earth-engine/datasets/catalog/NASA_GRACE_MASS_GRIDS_OCEAN_EOFR?hl=zh-cn
HYCOM_sea_surface_elevation,"HYCOM: Hybrid Coordinate Ocean Model, Sea Surface Elevation | Earth Engine Data Catalog | Google for Developers",HYCOM/sea_surface_elevation,ImageCollection,ocean,global,time_series,True,False,True,1,0,https://developers.google.com/earth-engine/datasets/catalog/HYCOM_sea_surface_elevation?hl=zh-cn
projects_openet_assets_disalexi_conus_gridmet_monthly_v2_1,OpenET DisALEXI Monthly Evapotranspiration v2.1 | Earth Engine Data Catalog | Google for Developers,projects/openet/assets/disalexi/conus/gridmet/monthly/v2_1,ImageCollection,evapotranspiration,regional,monthly,False,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/projects_openet_assets_disalexi_conus_gridmet_monthly_v2_1?hl=zh-cn
OpenET_EEMETRIC_CONUS_GRIDMET_MONTHLY_v2_0,OpenET eeMETRIC Monthly Evapotranspiration v2.0 | Earth Engine Data Catalog | Google for Developers,OpenET/EEMETRIC/CONUS/GRIDMET/MONTHLY/v2_0,ImageCollection,evapotranspiration,regional,monthly,True,True,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/OpenET_EEMETRIC_CONUS_GRIDMET_MONTHLY_v2_0?hl=zh-cn
projects_openet_assets_eemetric_conus_gridmet_monthly_v2_0,OpenET eeMETRIC Monthly Evapotranspiration v2.0 | Earth Engine Data Catalog | Google for Developers,projects/openet/assets/eemetric/conus/gridmet/monthly/v2_0,ImageCollection,evapotranspiration,regional,monthly,False,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/projects_openet_assets_eemetric_conus_gridmet_monthly_v2_0?hl=zh-cn
projects_openet_assets_eemetric_conus_gridmet_monthly_v2_1,OpenET eeMETRIC Monthly Evapotranspiration v2.1 | Earth Engine Data Catalog | Google for Developers,projects/openet/assets/eemetric/conus/gridmet/monthly/v2_1,ImageCollection,evapotranspiration,regional,monthly,False,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/projects_openet_assets_eemetric_conus_gridmet_monthly_v2_1?hl=zh-cn
projects_openet_assets_ensemble_conus_gridmet_monthly_v2_0,OpenET Ensemble Monthly Evapotranspiration v2.0 | Earth Engine Data Catalog | Google for Developers,projects/openet/assets/ensemble/conus/gridmet/monthly/v2_0,ImageCollection,evapotranspiration,regional,monthly,False,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/projects_openet_assets_ensemble_conus_gridmet_monthly_v2_0?hl=zh-cn
OpenET_ENSEMBLE_CONUS_GRIDMET_MONTHLY_v2_0,OpenET Ensemble Monthly Evapotranspiration v2.0 | Earth Engine Data Catalog | Google for Developers,OpenET/ENSEMBLE/CONUS/GRIDMET/MONTHLY/v2_0,ImageCollection,evapotranspiration,regional,monthly,True,True,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/OpenET_ENSEMBLE_CONUS_GRIDMET_MONTHLY_v2_0?hl=zh-cn
